CMPLNT_NUM,ADDR_PCT_CD,BORO_NM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,CRM_ATPT_CPTD_CD,HADEVELOPT,JURIS_DESC,KY_CD,LAW_CAT_CD,LOC_OF_OCCUR_DESC,OFNS_DESC,PARKS_NM,PD_CD,PD_DESC,PREM_TYP_DESC,RPT_DT,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
939675075,18,MANHATTAN,01/01/2016,00:01:00,05/31/2019,23:59:00,COMPLETED,,N.Y. POLICE DEPT,104,FELONY,INSIDE,RAPE,,157,RAPE 1,COMMERCIAL BUILDING,03/12/2020,988353,217918,40.764818269000045,-73.98518977299993,"(40.764818269000045, -73.98518977299993)"
562697319,18,MANHATTAN,02/09/2016,00:01:00,12/15/2019,23:59:00,COMPLETED,,N.Y. POLICE DEPT,341,MISDEMEANOR,,PETIT LARCENY,,301,"LARCENY,PETIT BY ACQUIRING LOS",STREET,03/11/2020,989419,215672,40.75865301700002,-73.98134327899999,"(40.75865301700002, -73.98134327899999)"
885793834,13,MANHATTAN,03/01/2016,00:00:00,07/01/2016,00:00:00,COMPLETED,,N.Y. POLICE DEPT,116,FELONY,INSIDE,SEX CRIMES,,177,SEXUAL ABUSE,RESIDENCE - APT. HOUSE,03/18/2020,988874,207673,40.736698070000045,-73.98331602599995,"(40.736698070000045, -73.98331602599995)"
517974194,34,MANHATTAN,03/14/2016,16:00:00,04/26/2020,16:00:00,COMPLETED,,N.Y. POLICE DEPT,112,FELONY,INSIDE,THEFT-FRAUD,,739,"FRAUD,UNCLASSIFIED-FELONY",RESIDENCE - APT. HOUSE,05/05/2020,1001534,248877,40.849776217000056,-73.93752716499995,"(40.849776217000056, -73.93752716499995)"
820338154,34,MANHATTAN,04/01/2016,08:00:00,09/01/2020,08:00:00,COMPLETED,,N.Y. POLICE DEPT,112,FELONY,INSIDE,THEFT-FRAUD,,739,"FRAUD,UNCLASSIFIED-FELONY",RESIDENCE - APT. HOUSE,09/22/2020,1002636,248355,40.848341256000026,-73.93354533699994,"(40.848341256000026, -73.93354533699994)"
183634082,18,MANHATTAN,04/01/2016,12:00:00,09/01/2020,17:43:00,COMPLETED,,N.Y. POLICE DEPT,361,MISDEMEANOR,INSIDE,OFF. AGNST PUB ORD SENSBLTY &,,639,AGGRAVATED HARASSMENT 2,RESIDENCE - APT. HOUSE,09/01/2020,987202,216308,40.76039969100003,-73.98934554699997,"(40.76039969100003, -73.98934554699997)"
487346031,19,MANHATTAN,04/01/2016,09:00:00,02/12/2020,09:00:00,COMPLETED,,N.Y. POLICE DEPT,341,MISDEMEANOR,INSIDE,PETIT LARCENY,,349,"LARCENY,PETIT OF LICENSE PLATE",RESIDENCE - APT. HOUSE,02/14/2020,995040,223179,40.77925270900005,-73.96104150999997,"(40.77925270900005, -73.96104150999997)"
367412512,13,MANHATTAN,05/25/2016,09:00:00,11/19/2018,17:00:00,COMPLETED,,N.Y. POLICE DEPT,341,MISDEMEANOR,INSIDE,PETIT LARCENY,,338,"LARCENY,PETIT FROM BUILDING,UN",RESIDENCE - APT. HOUSE,05/17/2020,987535,208903,40.74007471400005,-73.98814712499995,"(40.74007471400005, -73.98814712499995)"
899054620,19,MANHATTAN,06/08/2016,11:00:00,06/08/2016,11:30:00,COMPLETED,,N.Y. POLICE DEPT,233,MISDEMEANOR,INSIDE,SEX CRIMES,,175,"SEXUAL ABUSE 3,2",HOSPITAL,09/14/2020,994276,218779,40.76717676000004,-73.96380668299997,"(40.76717676000004, -73.96380668299997)"
163782558,18,MANHATTAN,06/25/2016,11:30:00,11/12/2019,21:00:00,COMPLETED,,N.Y. POLICE DEPT,109,FELONY,,GRAND LARCENY,,437,"LARCENY,GRAND BY FALSE PROMISE-IN PERSON CONTACT",STREET,02/19/2020,990819,216088,40.75979390100008,-73.97628939399993,"(40.75979390100008, -73.97628939399993)"
784475162,5,MANHATTAN,08/04/2016,15:00:00,05/27/2020,10:00:00,COMPLETED,,N.Y. POLICE DEPT,125,FELONY,INSIDE,NYS LAWS-UNCLASSIFIED FELONY,,847,"NY STATE LAWS,UNCLASSIFIED FEL",OTHER,05/28/2020,983903,200257,40.71634415200003,-74.00125319299997,"(40.71634415200003, -74.00125319299997)"
577768082,18,MANHATTAN,08/17/2016,12:00:00,08/18/2016,14:40:00,COMPLETED,,N.Y. POLICE DEPT,341,MISDEMEANOR,INSIDE,PETIT LARCENY,,313,"LARCENY,PETIT BY FALSE PROMISE",RESIDENCE - APT. HOUSE,03/11/2020,987488,219610,40.76946273100003,-73.98831157599994,"(40.76946273100003, -73.98831157599994)"
881507062,13,MANHATTAN,08/18/2016,21:00:00,08/18/2016,23:00:00,COMPLETED,,N.Y. POLICE DEPT,116,FELONY,INSIDE,SEX CRIMES,,177,SEXUAL ABUSE,RESIDENCE - APT. HOUSE,03/19/2020,988874,207673,40.736698070000045,-73.98331602599995,"(40.736698070000045, -73.98331602599995)"
742167698,25,MANHATTAN,08/22/2016,20:00:00,02/17/2018,01:00:00,COMPLETED,,N.Y. POLICE DEPT,233,MISDEMEANOR,INSIDE,SEX CRIMES,,175,"SEXUAL ABUSE 3,2",RESIDENCE - APT. HOUSE,01/29/2020,1000555,230994,40.800694331000045,-73.94110928599997,"(40.800694331000045, -73.94110928599997)"
617860640,23,MANHATTAN,09/16/2016,13:25:00,09/19/2016,13:30:00,COMPLETED,,N.Y. POLICE DEPT,341,MISDEMEANOR,,PETIT LARCENY,,321,"LARCENY,PETIT FROM AUTO",STREET,02/26/2020,1000719,229746,40.79726860700004,-73.94051999299995,"(40.79726860700004, -73.94051999299995)"
196137002,23,MANHATTAN,10/05/2016,18:00:00,10/23/2019,12:00:00,COMPLETED,,N.Y. HOUSING POLICE,112,FELONY,INSIDE,THEFT-FRAUD,,739,"FRAUD,UNCLASSIFIED-FELONY",RESIDENCE - PUBLIC HOUSING,01/07/2020,998862,226396,40.78807702700004,-73.94723424799997,"(40.78807702700004, -73.94723424799997)"
742841631,1,MANHATTAN,10/28/2016,00:01:00,10/28/2016,23:59:00,COMPLETED,,N.Y. POLICE DEPT,104,FELONY,INSIDE,RAPE,,157,RAPE 1,RESIDENCE - APT. HOUSE,01/28/2020,982285,201682,40.72025522300004,-74.00709027999993,"(40.72025522300004, -74.00709027999993)"
375957517,14,MANHATTAN,11/07/2016,00:01:00,11/25/2016,23:59:00,COMPLETED,,N.Y. POLICE DEPT,109,FELONY,INSIDE,GRAND LARCENY,,402,"LARCENY,GRAND BY FALSE PROMISE-NOT IN PERSON CONTACT",BANK,02/11/2020,987314,211868,40.74821297900007,-73.98894327999993,"(40.74821297900007, -73.98894327999993)"
521562187,19,MANHATTAN,11/18/2016,11:00:00,03/03/2020,11:44:00,COMPLETED,,N.Y. POLICE DEPT,578,VIOLATION,INSIDE,HARRASSMENT 2,,637,"HARASSMENT,SUBD 1,CIVILIAN",,03/04/2020,993847,219377,40.76881859000007,-73.96535455699996,"(40.76881859000007, -73.96535455699996)"
853412723,1,MANHATTAN,12/19/2016,12:00:00,01/19/2020,21:54:00,COMPLETED,,N.Y. POLICE DEPT,361,MISDEMEANOR,INSIDE,OFF. AGNST PUB ORD SENSBLTY &,,639,AGGRAVATED HARASSMENT 2,PUBLIC BUILDING,02/03/2020,981905,195924,40.70445078900008,-74.00845914199994,"(40.70445078900008, -74.00845914199994)"
986303070,19,MANHATTAN,12/27/2016,08:00:00,01/03/2017,08:00:00,COMPLETED,,N.Y. POLICE DEPT,109,FELONY,INSIDE,GRAND LARCENY,,428,"LARCENY,GRAND BY BANK ACCT COMPROMISE-UNAUTHORIZED PURCHASE",RESIDENCE - APT. HOUSE,02/14/2020,997324,218520,40.76646188900003,-73.95280363199998,"(40.76646188900003, -73.95280363199998)"
